"Date","Price","Open","High","Low","Vol.","Change %"
"21-02-2021","227.219","226.831","233.584","220.207","198.55M","-0.12%"
"20-02-2021","227.500","236.392","247.073","214.528","1.47M","-3.88%"
"19-02-2021","236.694","226.673","241.660","220.344","192.82M","4.46%"
"18-02-2021","226.580","237.348","238.938","220.793","200.40M","-4.42%"
"17-02-2021","237.066","210.468","237.439","203.616","214.05M","12.68%"
"16-02-2021","210.389","207.709","221.909","200.152","208.17M","1.29%"
"15-02-2021","207.709","213.649","219.821","185.652","221.53M","-2.75%"
"14-02-2021","213.589","226.009","230.445","208.422","217.96M","-5.47%"
"13-02-2021","225.942","196.589","228.816","191.730","236.46M","15.05%"
"12-02-2021","196.382","183.602","199.510","176.852","168.15M","6.87%"
"11-02-2021","183.757","181.650","193.365","175.917","164.63M","1.21%"
"10-02-2021","181.551","181.509","195.077","170.016","200.54M","0.06%"
"09-02-2021","181.442","167.283","184.283","164.397","160.46M","8.42%"
"08-02-2021","167.351","150.732","169.277","147.862","136.40M","11.03%"
"07-02-2021","150.731","155.572","157.220","145.275","130.21M","-3.00%"
"06-02-2021","155.393","155.055","164.031","149.978","142.45M","0.24%"
"05-02-2021","155.026","143.710","156.868","143.683","121.13M","7.87%"
"04-02-2021","143.710","155.929","158.212","142.984","128.83M","-7.84%"
"03-02-2021","155.941","141.972","156.106","141.972","132.28M","9.88%"
"02-02-2021","141.916","131.990","145.872","131.914","122.30M","7.47%"
"01-02-2021","132.049","129.401","136.547","126.002","109.98M","2.05%"
"31-01-2021","129.400","133.378","134.890","125.701","105.17M","-2.96%"
"30-01-2021","133.349","134.673","136.230","128.033","108.48M","-0.98%"
"29-01-2021","134.673","133.260","145.415","131.064","140.22M","1.09%"
"28-01-2021","133.217","122.439","135.801","120.933","113.51M","8.80%"
"27-01-2021","122.440","134.682","134.908","118.291","109.78M","-9.11%"
"26-01-2021","134.709","137.143","139.706","128.372","85.25M","-1.75%"
"25-01-2021","137.110","141.008","147.608","136.652","90.83M","-2.74%"
"24-01-2021","140.970","137.650","142.620","133.811","80.37M","2.42%"
"23-01-2021","137.642","137.660","143.460","135.080","114.54M","-0.13%"
"22-01-2021","137.821","129.770","141.810","122.881","350.07M","6.39%"
"21-01-2021","129.542","149.720","150.219","125.723","382.38M","-13.47%"
"20-01-2021","149.710","151.872","156.131","138.472","384.74M","-1.44%"
"19-01-2021","151.893","152.030","166.052","150.254","365.45M","-0.04%"
"18-01-2021","151.949","142.878","154.896","138.540","316.05M","6.35%"
"17-01-2021","142.881","143.541","146.948","136.371","325.28M","-0.45%"
"16-01-2021","143.531","143.770","152.558","139.401","344.24M","-0.17%"
"15-01-2021","143.772","152.548","155.621","130.560","387.07M","-5.79%"
"14-01-2021","152.611","147.381","156.862","143.742","334.66M","3.58%"
"13-01-2021","147.340","133.418","148.419","126.005","356.74M","10.46%"
"12-01-2021","133.390","138.889","146.727","128.189","468.78M","-4.01%"
"11-01-2021","138.968","170.201","170.548","112.897","705.72M","-18.33%"
"10-01-2021","170.162","177.187","185.671","162.100","453.61M","-3.96%"
"09-01-2021","177.179","172.229","178.696","163.388","393.49M","2.91%"
"08-01-2021","172.169","169.382","181.849","150.063","514.38M","1.56%"
"07-01-2021","169.531","168.875","181.041","162.204","423.00M","0.45%"
"06-01-2021","168.764","158.556","169.643","155.038","366.22M","6.52%"
"05-01-2021","158.432","155.461","162.548","146.542","383.44M","1.87%"
"04-01-2021","155.518","161.310","173.625","140.003","519.23M","-3.50%"
"03-01-2021","161.151","136.932","164.398","135.401","394.35M","17.82%"
"02-01-2021","136.781","126.232","140.646","123.153","283.31M","8.30%"
"01-01-2021","126.302","124.162","133.919","122.943","257.82M","1.72%"
"31-12-2020","124.162","130.088","130.340","122.005","232.21M","-4.52%"
"30-12-2020","130.036","128.798","132.996","122.959","275.55M","1.00%"
"29-12-2020","128.751","129.829","130.907","120.059","288.18M","-0.82%"
"28-12-2020","129.822","127.880","137.210","126.464","311.09M","1.57%"
"27-12-2020","127.812","129.657","139.408","122.448","367.21M","-1.39%"
"26-12-2020","129.620","127.615","135.126","125.069","314.65M","1.55%"
"25-12-2020","127.643","111.281","128.519","108.353","283.85M","14.69%"
"24-12-2020","111.291","102.371","112.318","98.713","286.68M","8.59%"
"23-12-2020","102.488","114.308","117.155","95.362","333.88M","-10.45%"
"22-12-2020","114.450","104.433","114.540","98.504","288.42M","9.61%"
"21-12-2020","104.412","114.603","118.540","100.996","293.55M","-8.91%"
"20-12-2020","114.631","119.867","123.151","110.057","280.20M","-4.35%"
"19-12-2020","119.840","109.331","124.044","105.342","245.57M","9.59%"
"18-12-2020","109.351","101.108","112.765","99.253","274.52M","8.11%"
"17-12-2020","101.149","92.903","109.878","90.609","272.51M","8.61%"
"16-12-2020","93.134","81.361","93.237","78.596","166.11M","14.51%"
"15-12-2020","81.333","82.366","84.875","80.453","153.50M","-1.25%"
"14-12-2020","82.361","82.246","82.963","79.164","151.61M","0.05%"
"13-12-2020","82.323","76.675","84.386","75.525","141.71M","7.39%"
"12-12-2020","76.656","72.219","77.555","72.092","131.72M","6.20%"
"11-12-2020","72.181","74.868","75.065","70.010","130.68M","-3.29%"
"10-12-2020","74.633","77.360","77.621","73.252","133.71M","-3.57%"
"09-12-2020","77.397","76.746","78.122","72.169","154.33M","0.82%"
"08-12-2020","76.765","83.395","84.810","75.512","153.24M","-7.96%"
"07-12-2020","83.404","83.577","86.787","81.746","148.20M","-0.20%"
"06-12-2020","83.574","83.146","85.155","80.382","141.43M","0.50%"
"05-12-2020","83.154","79.425","84.211","78.644","153.25M","4.50%"
"04-12-2020","79.574","88.993","89.806","78.000","167.72M","-10.61%"
"03-12-2020","89.023","88.971","91.255","85.474","172.66M","0.03%"
"02-12-2020","88.998","85.161","90.579","82.890","209.07M","4.59%"
"01-12-2020","85.089","87.617","92.881","79.721","252.33M","-2.94%"
"30-11-2020","87.664","78.945","88.519","76.950","181.16M","11.11%"
"29-11-2020","78.901","72.676","81.045","71.528","170.01M","8.55%"
"28-11-2020","72.683","69.167","74.882","68.310","159.60M","5.11%"
"27-11-2020","69.147","70.980","73.508","65.490","183.09M","-2.53%"
"26-11-2020","70.939","81.743","83.196","64.511","254.54M","-13.25%"
"25-11-2020","81.772","89.272","90.738","78.143","199.55M","-8.36%"
"24-11-2020","89.231","89.060","93.952","85.525","233.15M","0.15%"
"23-11-2020","89.098","82.831","90.843","80.976","218.88M","7.50%"
"22-11-2020","82.883","87.190","87.948","77.987","200.03M","-4.90%"
"21-11-2020","87.149","82.579","88.379","80.488","8.26M","5.63%"
"20-11-2020","82.505","81.520","85.518","80.101","8.70M","1.20%"
"19-11-2020","81.527","73.354","83.186","71.489","9.07M","11.11%"
"18-11-2020","73.376","76.225","77.061","68.289","9.78M","-3.93%"
"17-11-2020","76.375","73.751","76.961","71.414","8.21M","3.62%"
"16-11-2020","73.705","62.308","74.613","62.084","10.44M","18.25%"
"15-11-2020","62.332","63.799","64.447","61.045","9.45M","-2.28%"
"14-11-2020","63.787","65.923","66.326","61.690","7.82M","-3.23%"
"13-11-2020","65.913","60.755","66.668","60.149","10.23M","8.51%"
"12-11-2020","60.744","59.224","60.744","57.593","7.25M","2.40%"
"11-11-2020","59.320","57.939","60.546","57.756","8.68M","2.55%"
"10-11-2020","57.843","59.252","59.611","57.082","6.95M","-2.34%"
"09-11-2020","59.232","61.005","61.869","57.424","7.51M","-2.94%"
"08-11-2020","61.027","58.862","61.992","58.565","5.92M","3.69%"
"07-11-2020","58.856","63.260","64.761","57.152","9.12M","-6.77%"
"06-11-2020","63.130","58.892","63.659","58.611","7.77M","7.07%"
"05-11-2020","58.961","54.632","59.669","54.581","8.33M","7.98%"
"04-11-2020","54.603","53.892","55.223","51.585","9.08M","1.33%"
"03-11-2020","53.888","53.769","54.393","51.502","9.66M","0.14%"
"02-11-2020","53.815","55.572","56.815","53.086","13.82M","-3.27%"
"01-11-2020","55.636","55.732","56.223","54.131","7.27M","-0.17%"
"31-10-2020","55.730","54.037","56.449","53.594","7.31M","3.16%"
"30-10-2020","54.023","54.969","55.781","52.281","8.10M","-1.66%"
"29-10-2020","54.937","55.752","56.541","53.425","9.75M","-1.61%"
"28-10-2020","55.838","57.894","60.568","54.715","9.67M","-3.50%"
"27-10-2020","57.861","56.848","59.103","56.445","12.08M","1.82%"
"26-10-2020","56.826","58.852","59.330","55.076","12.76M","-3.44%"
"25-10-2020","58.852","59.266","60.025","56.560","14.02M","-0.69%"
"24-10-2020","59.263","55.431","59.610","54.818","13.89M","6.91%"
"23-10-2020","55.431","54.348","56.964","53.112","11.95M","2.00%"
"22-10-2020","54.346","52.956","56.267","52.956","10.32M","2.52%"
"21-10-2020","53.012","46.905","54.977","46.851","13.47M","13.02%"
"20-10-2020","46.905","48.015","48.446","46.450","8.44M","-2.28%"
"19-10-2020","47.997","47.549","48.453","46.791","6.96M","1.00%"
"18-10-2020","47.520","46.948","47.869","46.791","30.58M","1.18%"
"17-10-2020","46.968","47.586","47.644","46.331","20.21M","-1.29%"
